name_16	name_17	new_name	unit
acidity_16_harv	acidity_17_harv	Acidity at harvest	(g/L)
acidity_16_stor	acidity_17_stor	Acidity after storage	(g/L)
brix_16_stor	brix_17_stor	SS  after storage	(Brix)
brix_avg_16_harv	brix_17_harv	SS at harvest	(Brix)
brix_acid_16_harv	brix_acid_17_harv	SS/acidity at harvest	(Brix/g/L)
brix_acid_16_stor	brix_acid_17_stor	SS/acidity after storage	(Brix/g/L)
percent_acidity_16	percent_acidity_17	Change in acidity	(%)
percent_brix_16	percent_brix_17	Change in SS	(%)
percent_brix_acid_16	percent_brix_acid_17	Change in SS/acidity	(%)
percent_firmness_avg_16	percent_firmness_avg_17	Change in firmness	(%)
percent_weight_16	percent_weight_avg_17	Change in weight 	(%)
firmness_avg_16_harv	firmness_avg_17_harv	Firmness at harvest	(kg/cm)
firmness_avg_16_stor	firmness_avg_17_stor	Firmness after storage	(kg/cm)
weight_avg_16_harv	weight_avg_17_harv	Weight at harvest	(g)
weight_avg_16_stor	weight_avg_17_stor	Weight after storage	(g)
date_jul_16_harv	date_jul_17_harv	Harvest date	(julian days)
time_ripen_16_harv	time_ripen_2017	Time to ripen	(days)
