,,Correlation coefficient (r),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Precocity,Flowering date,Time to ripen,Harvest date,Juiciness,Weight,Firmness,Soluble solids,Acidity,Soluble solids/acidity,Change in weight,Change in firmness,Change in SS,Change in acidity
P-value,Precocity,,0.017061229,0.011608419,0.013102989,0.003300153,0.000485681,0.009038999,0.001274096,0.005464167,0.00854526,0.009224772,0.00531939,0.001400395,0.000936448
,Flowering date,0.001700722,,0.047632748,0.086229474,0.010624966,0.0037619,0.071194243,0.010023312,0.004981386,0.013597183,0.01447602,0.009104187,3.55E-05,0.001188613
,Time to ripen,0.717961318,5.08E-06,,0.993171374,0.056389908,0.042572617,0.272695122,0.238793917,0.004265179,0.012780895,0.004207661,0.13508018,0.021122493,0.001421135
,Harvest date,0.428905384,1.41E-11,0,,0.058381492,0.042641238,0.284940258,0.237555866,0.004813524,0.014487314,0.005795329,0.139933525,0.020759172,0.001113449
,Juiciness,1,1,4.36E-07,2.23E-07,,0.053187629,0.027262051,0.002419143,0.000604541,0.003225082,0.045725162,0.002886954,0.071489876,0.001707512
,Weight,1,1,2.72E-05,2.60E-05,1.22E-06,,0.001744621,0.001380499,0.054236311,0.041078053,0.011528779,0.00016067,0.004224088,0.004860495
,Firmness,1,1.99E-09,8.31E-42,4.04E-44,0.004793162,1,,0.105933953,0.00441899,0.00302451,0.013209603,0.088991633,0.005067709,0.000385076
,Soluble solids,1,1,1.13E-35,1.61E-35,1,1,1.65E-14,,0.016558385,0.002562613,0.011103547,0.001688728,0.003666874,1.98E-06
,Acidity,1,1,1,1,1,1.64E-06,1,0.187769416,,0.63713103,0.000749257,0.011094933,0.010812589,0.022384727
,Soluble solids/acidity,1,0.483574623,0.627515743,0.361507609,1,9.50E-05,1,1,2.14E-125,,3.89E-05,0.019461135,0.021438709,0.032610171
,Change in weight,1,1,1,1,0.004655262,1,1,1,1,1,,0.005356956,0.000366646,0.001279025
,Change in firmness,1,1,9.69E-11,3.56E-11,1,1,1.04E-06,1,1,0.881368103,1,,0.001030773,0.01564939
,Change in SS,1,1,0.638309135,0.684869289,4.93E-05,1,1,1,1,0.645463852,1,1,,0.01734512
,Change in acidity,1,1,1,1,1,1,1,1,0.567025011,0.084841309,1,1,1,0
